DATE;Close
03/01/2020;43,885
06/01/2020;43,505
07/01/2020;43,575
08/01/2020;43,73
09/01/2020;44,085
10/01/2020;44,335
13/01/2020;44,37
14/01/2020;44,445
15/01/2020;44,695
16/01/2020;44,42
17/01/2020;44,715
20/01/2020;45,41
21/01/2020;45,15
22/01/2020;45,235
23/01/2020;45,245
24/01/2020;45,225
27/01/2020;45,375
28/01/2020;44,505
29/01/2020;44,815
30/01/2020;45,07
31/01/2020;44,645
03/02/2020;44,12
04/02/2020;44,46
05/02/2020;45,2
06/02/2020;45,685
07/02/2020;46,25
10/02/2020;46,015
11/02/2020;46,495
12/02/2020;46,625
13/02/2020;47
14/02/2020;46,785
17/02/2020;46,88
18/02/2020;47,34
19/02/2020;46,96
20/02/2020;47,315
21/02/2020;47,09
24/02/2020;46,07
25/02/2020;44,27
26/02/2020;42,465
27/02/2020;43,155
28/02/2020;40,9
02/03/2020;39,765
03/03/2020;40,9
04/03/2020;41,5
05/03/2020;42,63
06/03/2020;40,77
09/03/2020;39,81
10/03/2020;36,31
11/03/2020;39,575
12/03/2020;37,235
13/03/2020;33,915
16/03/2020;36,915
17/03/2020;33,5
18/03/2020;35,47
19/03/2020;33,505
20/03/2020;35,01
23/03/2020;36,615
24/03/2020;33,305
25/03/2020;35,94
26/03/2020;36,545
27/03/2020;37,18
30/03/2020;36,245
31/03/2020;36,94
01/04/2020;37,95
02/04/2020;36,975
03/04/2020;36,985
06/04/2020;37,15
07/04/2020;39,445
08/04/2020;39,395
09/04/2020;39,495
14/04/2020;39,875
15/04/2020;40,845
16/04/2020;40,595
17/04/2020;41,15
20/04/2020;41,295
21/04/2020;41,275
22/04/2020;40
23/04/2020;40,765
24/04/2020;40,98
27/04/2020;41,395
28/04/2020;41,865
29/04/2020;41,295
30/04/2020;42,345
04/05/2020;41,45
05/05/2020;41,115
06/05/2020;41,575
07/05/2020;41,765
08/05/2020;41,88
11/05/2020;42,505
12/05/2020;42,775
13/05/2020;42,005
14/05/2020;41,445
15/05/2020;41,785
18/05/2020;41,855
19/05/2020;42,83
20/05/2020;42,73
21/05/2020;42,785
22/05/2020;42,575
25/05/2020;42,585
26/05/2020;43,68
27/05/2020;42,7
28/05/2020;42,585
29/05/2020;42,215
01/06/2020;42,505
02/06/2020;43,18
03/06/2020;42,795
04/06/2020;42,695
05/06/2020;42,385
08/06/2020;43,14
09/06/2020;43,695
10/06/2020;43,775
11/06/2020;43,605
12/06/2020;41,845
15/06/2020;42,285
16/06/2020;42
17/06/2020;42,91
18/06/2020;43,045
19/06/2020;43,115
22/06/2020;43,15
23/06/2020;43,275
24/06/2020;43,33
25/06/2020;42,825
26/06/2020;43,245
29/06/2020;42,28
30/06/2020;42,46
01/07/2020;43
02/07/2020;43,49
03/07/2020;43,945
06/07/2020;43,81
07/07/2020;44,295
08/07/2020;44,05
09/07/2020;44,1
10/07/2020;44,295
13/07/2020;44,53
14/07/2020;44,695
15/07/2020;44,25
16/07/2020;44,37
17/07/2020;44,415
20/07/2020;44,36
21/07/2020;44,91
22/07/2020;44,41
23/07/2020;44,305
24/07/2020;43,56
27/07/2020;42,975
28/07/2020;43,26
29/07/2020;43,3
30/07/2020;43,3
31/07/2020;42,75
03/08/2020;43,17
04/08/2020;44,07
05/08/2020;43,905
06/08/2020;44,11
07/08/2020;44,22
10/08/2020;44,565
11/08/2020;44,51
12/08/2020;44,775
13/08/2020;44,795
14/08/2020;44,745
17/08/2020;44,425
18/08/2020;44,625
19/08/2020;44,775
20/08/2020;44,92
21/08/2020;44,995
24/08/2020;45,425
25/08/2020;45,835
26/08/2020;46,105
27/08/2020;46,5
28/08/2020;46,895
31/08/2020;46,71
01/09/2020;46,67
02/09/2020;46,615
03/09/2020;47,57
04/09/2020;45,8
07/09/2020;45,3
08/09/2020;45,77
09/09/2020;44,505
10/09/2020;45,785
11/09/2020;44,845
14/09/2020;44,445
15/09/2020;44,925
16/09/2020;44,82
17/09/2020;45,185
18/09/2020;44,305
21/09/2020;43,59
22/09/2020;43,5
23/09/2020;44,32
24/09/2020;43,945
25/09/2020;43,55
28/09/2020;44,495
29/09/2020;44,9
30/09/2020;44,65
01/10/2020;44,99
02/10/2020;45,105
05/10/2020;44,81
06/10/2020;45,02
07/10/2020;44,25
08/10/2020;44,815
09/10/2020;45,18
12/10/2020;45,515
13/10/2020;46,46
14/10/2020;46,71
15/10/2020;46,37
16/10/2020;46,085
19/10/2020;46,065
20/10/2020;45,14
21/10/2020;44,88
22/10/2020;44,785
23/10/2020;45,175
26/10/2020;44,88
27/10/2020;44,41
28/10/2020;44,27
29/10/2020;43,095
30/10/2020;43,99
02/11/2020;43,245
03/11/2020;43,705
04/11/2020;44,205
05/11/2020;45,355
06/11/2020;46,045
09/11/2020;45,615
10/11/2020;46,4
11/11/2020;45,495
12/11/2020;45,82
13/11/2020;45,455
16/11/2020;46,06
17/11/2020;46,41
18/11/2020;46,35
19/11/2020;45,52
20/11/2020;46,23
23/11/2020;46,01
24/11/2020;45,945
25/11/2020;46,38
26/11/2020;46,335
27/11/2020;46,48
30/11/2020;46,685
01/12/2020;46,255
02/12/2020;46,58
03/12/2020;46,485
04/12/2020;46,03
07/12/2020;46,555
08/12/2020;46,66
09/12/2020;46,86
10/12/2020;46,945
11/12/2020;46,595
14/12/2020;46,535
15/12/2020;46,435
16/12/2020;46,47
17/12/2020;46,895
18/12/2020;46,78
21/12/2020;46,78
22/12/2020;46,39
23/12/2020;46,515
28/12/2020;46,775
29/12/2020;47,35
30/12/2020;47,405
04/01/2021;47,44
05/01/2021;47,165
06/01/2021;47,265
07/01/2021;47,095
08/01/2021;47,77
11/01/2021;48,315
12/01/2021;48,295
13/01/2021;48,215
14/01/2021;48,405
15/01/2021;48,38
18/01/2021;48,14
19/01/2021;48,065
20/01/2021;48,035
21/01/2021;49,3
22/01/2021;49,685
25/01/2021;49,39
26/01/2021;49,72
27/01/2021;49,65
28/01/2021;48,7
29/01/2021;48,93
01/02/2021;47,75
02/02/2021;48,745
03/02/2021;49,755
04/02/2021;50,16
05/02/2021;50,36
08/02/2021;50,37
09/02/2021;50,57
10/02/2021;50,5
11/02/2021;50,23
12/02/2021;50,22
15/02/2021;50,5
16/02/2021;51,15
17/02/2021;50,62
18/02/2021;50,81
19/02/2021;50,43
22/02/2021;50,12
23/02/2021;49,645
24/02/2021;49,025
25/02/2021;49,83
26/02/2021;48,53
01/03/2021;48,85
02/03/2021;49,64
03/03/2021;49,28
04/03/2021;48,61
05/03/2021;48,1
08/03/2021;48,97
09/03/2021;49,465
10/03/2021;49,475
11/03/2021;50,05
12/03/2021;50,14
15/03/2021;49,97
16/03/2021;50,28
17/03/2021;50,64
18/03/2021;50,42
19/03/2021;49,565
22/03/2021;49,68
23/03/2021;50,45
24/03/2021;50,2
25/03/2021;49,9
26/03/2021;50,33
29/03/2021;50,66
30/03/2021;50,88
31/03/2021;50,89
01/04/2021;51,14
06/04/2021;51,73
07/04/2021;52,25
08/04/2021;52,27
09/04/2021;52,6
12/04/2021;52,7
13/04/2021;52,53
14/04/2021;52,97
15/04/2021;52,35
16/04/2021;53,19
19/04/2021;53,22
20/04/2021;52,86
21/04/2021;52,38
22/04/2021;52,86
23/04/2021;52,55
26/04/2021;52,81
27/04/2021;52,51
28/04/2021;52,54
29/04/2021;52,72
30/04/2021;52,86
03/05/2021;52,68
04/05/2021;52,48
05/05/2021;52,19
06/05/2021;52,55
07/05/2021;52,34
10/05/2021;52,53
11/05/2021;51,49
12/05/2021;51
13/05/2021;50,14
14/05/2021;50,65
17/05/2021;51,51
18/05/2021;51,33
19/05/2021;51
20/05/2021;50,58
21/05/2021;51,19
24/05/2021;51,27
25/05/2021;51,66
26/05/2021;51,55
27/05/2021;51,73
28/05/2021;51,85
31/05/2021;51,85
01/06/2021;51,55
02/06/2021;51,4
03/06/2021;51,79
04/06/2021;52
07/06/2021;52,33
08/06/2021;52
09/06/2021;52,44
10/06/2021;52,27
11/06/2021;52,8
14/06/2021;53,24
15/06/2021;53,42
16/06/2021;53,24
17/06/2021;53,05
18/06/2021;54,37
21/06/2021;53,96
22/06/2021;54,04
23/06/2021;54,49
24/06/2021;54,37
25/06/2021;54,94
28/06/2021;54,67
29/06/2021;54,85
30/06/2021;55,09
01/07/2021;55,33
02/07/2021;55,38
05/07/2021;55,92
06/07/2021;56,06
07/07/2021;56,34
08/07/2021;56,59
09/07/2021;55,87
12/07/2021;56,53
13/07/2021;56,73
14/07/2021;57,1
15/07/2021;57,26
16/07/2021;56,9
19/07/2021;56,21
20/07/2021;55,58
21/07/2021;56,1
22/07/2021;56,43
23/07/2021;56,88
26/07/2021;57,28
27/07/2021;57,48
28/07/2021;56,98
29/07/2021;57,35
30/07/2021;56,87
02/08/2021;56,39
03/08/2021;56,35
04/08/2021;56,66
05/08/2021;56,8
06/08/2021;57,12
09/08/2021;57,41
10/08/2021;57,45
11/08/2021;57,51
12/08/2021;57,49
13/08/2021;57,77
16/08/2021;57,45
17/08/2021;57,59
18/08/2021;57,6
19/08/2021;57,25
20/08/2021;57,17
23/08/2021;57,5
24/08/2021;58,08
25/08/2021;58,03
26/08/2021;58,19
27/08/2021;57,9
30/08/2021;58,23
31/08/2021;58,57
01/09/2021;58,64
02/09/2021;58,73
03/09/2021;58,48
06/09/2021;58,5
07/09/2021;58,86
08/09/2021;58,67
09/09/2021;58,5
10/09/2021;58,16
13/09/2021;57,85
14/09/2021;57,81
15/09/2021;57,54
16/09/2021;58,06
17/09/2021;58,33
20/09/2021;57,91
21/09/2021;56,65
22/09/2021;57,15
23/09/2021;56,99
24/09/2021;57,75
27/09/2021;57,86
28/09/2021;57,64
29/09/2021;56,53
30/09/2021;57,32
01/10/2021;56,96
04/10/2021;57,54
05/10/2021;56,24
06/10/2021;56,95
07/10/2021;56,96
08/10/2021;57,92
11/10/2021;57,83
12/10/2021;57,18
13/10/2021;57,2
14/10/2021;57,26
15/10/2021;58,08
18/10/2021;58,48
19/10/2021;58,76
20/10/2021;59,12
21/10/2021;59,11
22/10/2021;59,17
25/10/2021;58,84
26/10/2021;59,1
27/10/2021;59,83
28/10/2021;59,82
29/10/2021;59,82
01/11/2021;60,5
02/11/2021;60,76
03/11/2021;60,9
04/11/2021;60,8
05/11/2021;62,15
08/11/2021;62,42
09/11/2021;62,08
10/11/2021;61,86
11/11/2021;61,62
12/11/2021;61,96
15/11/2021;62,32
16/11/2021;62,39
17/11/2021;63
18/11/2021;63,42
19/11/2021;63,38
22/11/2021;63,76
23/11/2021;64
24/11/2021;63,52
25/11/2021;63,97
26/11/2021;63,91
29/11/2021;62,09
30/11/2021;63,15
01/12/2021;62,02
02/12/2021;61,56
03/12/2021;61,88
06/12/2021;60,79
07/12/2021;61,75
08/12/2021;63,27
09/12/2021;63,39
10/12/2021;63,6
13/12/2021;63,19
14/12/2021;63,29
15/12/2021;62,14
16/12/2021;63,38
17/12/2021;62,78
20/12/2021;62,21
21/12/2021;61,61
22/12/2021;62,22
23/12/2021;63,04
27/12/2021;63,73
28/12/2021;64,38
29/12/2021;64,33
30/12/2021;64,05
03/01/2022;64,16
04/01/2022;64,59
05/01/2022;64,33
06/01/2022;62,9
07/01/2022;62,73
10/01/2022;62,3
11/01/2022;61,98
12/01/2022;62,83
13/01/2022;62,82
14/01/2022;61,55
17/01/2022;62,11
18/01/2022;61,99
19/01/2022;61,3
20/01/2022;60,77
21/01/2022;60,26
24/01/2022;58,48
25/01/2022;58,02
26/01/2022;58,27
27/01/2022;58,29
28/01/2022;58,55
31/01/2022;59,4
01/02/2022;61,02
02/02/2022;61,56
03/02/2022;61,73
04/02/2022;58,61
07/02/2022;59,74
08/02/2022;59,38
09/02/2022;59,48
10/02/2022;60,21
11/02/2022;58,57
14/02/2022;58,23
15/02/2022;58,47
16/02/2022;58,83
17/02/2022;59,31
18/02/2022;58
21/02/2022;57,76
22/02/2022;55,69
23/02/2022;56,9
24/02/2022;56,19
25/02/2022;57,64
28/02/2022;58,54
01/03/2022;57,98
02/03/2022;58,06
03/03/2022;59,12
04/03/2022;58,49
07/03/2022;58,48
08/03/2022;57,03
09/03/2022;56,88
10/03/2022;57,25
11/03/2022;57,37
14/03/2022;57,02
15/03/2022;56,27
16/03/2022;57,53
17/03/2022;59,1
18/03/2022;58,67
21/03/2022;60,2
22/03/2022;60,29
23/03/2022;61,05
24/03/2022;60,72
25/03/2022;61,57
28/03/2022;62,03
29/03/2022;62,75
30/03/2022;62,65
31/03/2022;61,57
01/04/2022;61,6
04/04/2022;61,99
05/04/2022;63,21
06/04/2022;62,46
07/04/2022;61,78
08/04/2022;61,85
11/04/2022;61,75
12/04/2022;60
13/04/2022;59,89
14/04/2022;60,58
19/04/2022;60,43
20/04/2022;61,16
21/04/2022;60,43
22/04/2022;59,61
25/04/2022;58,55
26/04/2022;58,88
27/04/2022;57,48
28/04/2022;58,05
29/04/2022;59,84
02/05/2022;57,73
03/05/2022;58,14
04/05/2022;58,5
05/05/2022;59,58
06/05/2022;57,19
09/05/2022;57,13
10/05/2022;55,45
11/05/2022;55,82
12/05/2022;54,66
13/05/2022;55,4
16/05/2022;56,54
17/05/2022;56,64
18/05/2022;56,73
19/05/2022;54,88
20/05/2022;54,31
23/05/2022;54,24
24/05/2022;54,38
25/05/2022;53,68
26/05/2022;54,49
27/05/2022;55,06
30/05/2022;56,53
31/05/2022;56,55
01/06/2022;56,55
02/06/2022;56,92
03/06/2022;56,97
06/06/2022;56,08
07/06/2022;56,66
08/06/2022;56,8
09/06/2022;56
10/06/2022;55,3
13/06/2022;54,38
14/06/2022;52,56
15/06/2022;52,31
16/06/2022;53
17/06/2022;50,55
20/06/2022;51,51
21/06/2022;51,61
22/06/2022;52,64
23/06/2022;52,32
24/06/2022;52,91
27/06/2022;54,18
28/06/2022;54,04
29/06/2022;53,09
30/06/2022;53,2
01/07/2022;52,74
04/07/2022;53,28
05/07/2022;53,11
06/07/2022;54,52
07/07/2022;55,45
08/07/2022;56,21
11/07/2022;56,18
12/07/2022;55,77
13/07/2022;54,93
14/07/2022;55,02
15/07/2022;54,95
18/07/2022;55,65
19/07/2022;55,06
20/07/2022;56
21/07/2022;56,86
22/07/2022;57,18
25/07/2022;56,32
26/07/2022;56,77
27/07/2022;56,51
28/07/2022;57,92
29/07/2022;58,55
01/08/2022;58,92
02/08/2022;58,85
03/08/2022;58,47
04/08/2022;60,23
05/08/2022;59,02
08/08/2022;59,39
09/08/2022;59,05
10/08/2022;58,65
11/08/2022;59,15
12/08/2022;59,1
15/08/2022;60,07
16/08/2022;61,1
17/08/2022;60,87
18/08/2022;60,9
19/08/2022;61,21
22/08/2022;60,53
23/08/2022;59,76
24/08/2022;59,52
25/08/2022;59,68
26/08/2022;60,31
29/08/2022;58,34
30/08/2022;58,46
31/08/2022;57,05
01/09/2022;56,99
02/09/2022;57,01
05/09/2022;56,55
06/09/2022;57,08
07/09/2022;56,7
08/09/2022;57,12
09/09/2022;56,73
12/09/2022;58,1
13/09/2022;58,24
14/09/2022;56,5
15/09/2022;56,44
16/09/2022;55,92
19/09/2022;55,53
20/09/2022;55,37
21/09/2022;55,66
22/09/2022;55,32
23/09/2022;54,71
26/09/2022;54,46
27/09/2022;54,7
28/09/2022;54,76
29/09/2022;54,77
30/09/2022;53,35
03/10/2022;52,65
04/10/2022;53,35
05/10/2022;54,21
06/10/2022;54,35
07/10/2022;54,43
10/10/2022;53,49
11/10/2022;53,06
12/10/2022;52,59
13/10/2022;52,63
14/10/2022;53,3
17/10/2022;52,6
18/10/2022;53,38
19/10/2022;53,36
20/10/2022;53,43
21/10/2022;53,23
24/10/2022;54,39
25/10/2022;54,51
26/10/2022;55,08
27/10/2022;53,8
28/10/2022;53,43
31/10/2022;54,49
01/11/2022;54,63
02/11/2022;54,3
03/11/2022;53,2
04/11/2022;52,64
07/11/2022;52,25
08/11/2022;52,67
09/11/2022;52,33
10/11/2022;51,78
11/11/2022;53,68
14/11/2022;53,56
15/11/2022;53,34
16/11/2022;53,73
17/11/2022;53,5
18/11/2022;53,11
21/11/2022;53,63
22/11/2022;53,81
23/11/2022;53,72
24/11/2022;53,88
25/11/2022;54,18
28/11/2022;53,93
29/11/2022;53,39
30/11/2022;53,16
01/12/2022;54,36
02/12/2022;54,3
05/12/2022;54,03
06/12/2022;53,5
07/12/2022;52,68
08/12/2022;52,04
09/12/2022;52,51
12/12/2022;52,83
13/12/2022;52,99
14/12/2022;53,14
15/12/2022;53
16/12/2022;51,36
19/12/2022;50,94
20/12/2022;50,32
21/12/2022;50,46
22/12/2022;50,95
23/12/2022;50,05
27/12/2022;50,35
28/12/2022;50
29/12/2022;49,49
30/12/2022;50,14
02/01/2023;49,78
03/01/2023;51,17
04/01/2023;50,33
05/01/2023;50,38
06/01/2023;50,37
09/01/2023;50,79
10/01/2023;50,7
11/01/2023;50,69
12/01/2023;51,22
13/01/2023;51,26
16/01/2023;51,65
17/01/2023;51,65
18/01/2023;51,8
19/01/2023;51,19
20/01/2023;51,15
23/01/2023;51,75
24/01/2023;52,42
25/01/2023;52,28
26/01/2023;51,96
