DATE;Close
03/01/2020;494,555
06/01/2020;494,43
07/01/2020;494,62
08/01/2020;497,745
09/01/2020;497,59
10/01/2020;504,31
13/01/2020;505,645
14/01/2020;506,76
15/01/2020;508,02
16/01/2020;508,63
17/01/2020;509,43
20/01/2020;512,315
21/01/2020;514,165
22/01/2020;515,07
23/01/2020;517,46
24/01/2020;515,06
27/01/2020;517,47
28/01/2020;502,5
29/01/2020;509,245
30/01/2020;511,65
31/01/2020;508,48
03/02/2020;506,4
04/02/2020;512,13
05/02/2020;522,9
06/02/2020;524,54
07/02/2020;529,52
10/02/2020;530,24
11/02/2020;531,39
12/02/2020;538,32
13/02/2020;539,02
14/02/2020;539,7
17/02/2020;540,395
18/02/2020;542,45
19/02/2020;538,3
20/02/2020;546,24
21/02/2020;539,08
24/02/2020;534,31
25/02/2020;512,67
26/02/2020;504,38
27/02/2020;506,205
28/02/2020;485,57
02/03/2020;468,99
03/03/2020;486,39
04/03/2020;489,815
05/03/2020;492,46
06/03/2020;496,23
09/03/2020;475,485
10/03/2020;457,08
11/03/2020;453,64
12/03/2020;455,955
13/03/2020;414,92
16/03/2020;418,5
17/03/2020;416,77
18/03/2020;416,12
19/03/2020;400,3
20/03/2020;411,34
23/03/2020;403,355
24/03/2020;389,325
25/03/2020;422,22
26/03/2020;427,665
27/03/2020;435,615
30/03/2020;429,92
31/03/2020;440,54
01/04/2020;448,6
02/04/2020;429,475
03/04/2020;425,315
06/04/2020;423,92
07/04/2020;443,535
08/04/2020;459,41
09/04/2020;459,825
14/04/2020;462,135
15/04/2020;483,34
16/04/2020;481,32
17/04/2020;492,62
20/04/2020;492,04
21/04/2020;496,555
22/04/2020;471,57
23/04/2020;483,77
24/04/2020;492,27
27/04/2020;485,995
28/04/2020;498,66
29/04/2020;491,47
30/04/2020;502,385
01/05/2020;505,08
04/05/2020;493,7
05/05/2020;492,33
06/05/2020;504,9
07/05/2020;507,64
11/05/2020;510,7
12/05/2020;521,18
13/05/2020;524,32
14/05/2020;511,23
15/05/2020;502,325
18/05/2020;505,78
19/05/2020;525,24
20/05/2020;529,08
21/05/2020;534,055
22/05/2020;528,22
26/05/2020;526,205
27/05/2020;531,87
28/05/2020;520,76
29/05/2020;532,95
01/06/2020;529,805
02/06/2020;537,235
03/06/2020;536,85
04/06/2020;544,95
05/06/2020;543,76
08/06/2020;551,83
09/06/2020;552,27
10/06/2020;560,41
11/06/2020;566,07
12/06/2020;555,96
15/06/2020;543,3
16/06/2020;541,085
17/06/2020;558,455
18/06/2020;562,535
19/06/2020;562,32
22/06/2020;567,5
23/06/2020;566,36
24/06/2020;577,54
25/06/2020;563,42
26/06/2020;562,945
29/06/2020;559,39
30/06/2020;557,185
01/07/2020;567,315
02/07/2020;574,76
03/07/2020;582,245
06/07/2020;582,35
07/07/2020;597,365
08/07/2020;600,88
09/07/2020;594,16
10/07/2020;597,33
13/07/2020;604,12
14/07/2020;622,36
15/07/2020;593,54
16/07/2020;601,02
17/07/2020;592,225
20/07/2020;597,76
21/07/2020;607,69
22/07/2020;613,17
23/07/2020;609,255
24/07/2020;608,96
27/07/2020;592,685
28/07/2020;593,58
29/07/2020;598,235
30/07/2020;598,37
31/07/2020;597,86
03/08/2020;609,035
04/08/2020;621,78
05/08/2020;621,29
06/08/2020;625,43
07/08/2020;626,84
10/08/2020;630,98
11/08/2020;620,265
12/08/2020;623,185
13/08/2020;625,61
14/08/2020;632,58
17/08/2020;627,87
18/08/2020;634,255
19/08/2020;639,07
20/08/2020;642,97
21/08/2020;642,02
24/08/2020;649,695
25/08/2020;652,01
26/08/2020;656,89
27/08/2020;667,815
28/08/2020;676,13
01/09/2020;675,635
02/09/2020;688,53
03/09/2020;690,8
04/09/2020;666,3
07/09/2020;635,5
08/09/2020;647,55
09/09/2020;632,6
10/09/2020;640,185
11/09/2020;644,51
14/09/2020;627,16
15/09/2020;638,89
16/09/2020;645,75
17/09/2020;644
18/09/2020;625,77
21/09/2020;617,63
22/09/2020;605,32
23/09/2020;619,745
24/09/2020;622,945
25/09/2020;616,87
28/09/2020;621,2
29/09/2020;636,455
30/09/2020;639,76
01/10/2020;645,85
02/10/2020;650,17
05/10/2020;641,17
06/10/2020;644,24
07/10/2020;642,635
08/10/2020;644,72
09/10/2020;649,915
12/10/2020;657,475
13/10/2020;676,745
14/10/2020;686,27
15/10/2020;679,35
16/10/2020;667,1
19/10/2020;671,025
20/10/2020;665,46
21/10/2020;656,4
22/10/2020;657,655
23/10/2020;654,1
26/10/2020;652,89
27/10/2020;645,27
28/10/2020;651,4
29/10/2020;633,005
30/10/2020;637,31
02/11/2020;623,69
03/11/2020;624,32
04/11/2020;638,09
05/11/2020;662,255
06/11/2020;679,85
09/11/2020;678,82
10/11/2020;686,66
11/11/2020;656,42
12/11/2020;666,245
13/11/2020;670,33
16/11/2020;667,63
17/11/2020;675,91
18/11/2020;675,215
19/11/2020;674,185
20/11/2020;672,96
23/11/2020;676,23
24/11/2020;666,775
25/11/2020;677,07
26/11/2020;683,05
27/11/2020;687,29
30/11/2020;692,395
01/12/2020;683,82
02/12/2020;700,75
03/12/2020;700,39
04/12/2020;703,72
07/12/2020;704,93
08/12/2020;709,5
09/12/2020;707,725
10/12/2020;709,915
11/12/2020;700,7
14/12/2020;692,195
15/12/2020;705,07
16/12/2020;703,595
17/12/2020;711,69
18/12/2020;716,815
21/12/2020;715,32
22/12/2020;708,16
23/12/2020;715,05
24/12/2020;715,1
29/12/2020;714,155
30/12/2020;725,7
31/12/2020;725,52
04/01/2021;724,68
05/01/2021;717,105
06/01/2021;718,54
07/01/2021;720,33
08/01/2021;727,43
11/01/2021;734,01
12/01/2021;731,95
13/01/2021;727,62
14/01/2021;731,91
15/01/2021;731,88
18/01/2021;724,99
19/01/2021;721,99
20/01/2021;725,47
21/01/2021;746,38
22/01/2021;753,37
25/01/2021;752,2
26/01/2021;753,73
27/01/2021;760,175
28/01/2021;747,12
29/01/2021;748,44
01/02/2021;732,735
02/02/2021;741,835
03/02/2021;757,195
04/02/2021;757,235
05/02/2021;758,125
08/02/2021;764,77
09/02/2021;767,45
10/02/2021;771,235
11/02/2021;768,47
12/02/2021;773,675
15/02/2021;774,97
16/02/2021;781,505
17/02/2021;777,18
18/02/2021;765,61
19/02/2021;763,805
22/02/2021;772,02
23/02/2021;751,59
24/02/2021;736,48
25/02/2021;743,15
26/02/2021;738,735
01/03/2021;729,275
02/03/2021;743,48
03/03/2021;741,74
04/03/2021;730,13
05/03/2021;716,12
08/03/2021;692,29
09/03/2021;712,06
10/03/2021;718,76
11/03/2021;722,75
12/03/2021;735,95
15/03/2021;723,825
16/03/2021;729,9
17/03/2021;744,68
18/03/2021;733,47
19/03/2021;731,79
22/03/2021;725,195
23/03/2021;741,33
24/03/2021;738,83
25/03/2021;731,91
26/03/2021;719,79
29/03/2021;724,26
30/03/2021;727,24
31/03/2021;728,25
01/04/2021;739,66
06/04/2021;750,045
07/04/2021;769,27
08/04/2021;767,03
09/04/2021;774,715
12/04/2021;775,47
13/04/2021;777,84
14/04/2021;785,04
15/04/2021;783,62
16/04/2021;788,225
19/04/2021;789,415
20/04/2021;783,77
21/04/2021;776,375
22/04/2021;782,27
23/04/2021;784,655
26/04/2021;785,2
27/04/2021;788,825
28/04/2021;787,51
29/04/2021;785,61
30/04/2021;785,95
04/05/2021;782,615
05/05/2021;758,17
06/05/2021;766,915
07/05/2021;763,53
10/05/2021;778,365
