DATE;Close
03/01/2020;37,63
06/01/2020;37,57
07/01/2020;37,445
08/01/2020;37,67
09/01/2020;37,805
10/01/2020;38,125
13/01/2020;38,175
14/01/2020;38,165
15/01/2020;38,335
16/01/2020;38,38
17/01/2020;38,59
20/01/2020;38,85
21/01/2020;38,905
22/01/2020;38,885
23/01/2020;38,93
24/01/2020;38,755
27/01/2020;38,945
28/01/2020;38,095
29/01/2020;38,44
30/01/2020;38,605
31/01/2020;38,18
03/02/2020;37,66
04/02/2020;37,9
05/02/2020;38,53
06/02/2020;38,805
07/02/2020;39,135
10/02/2020;39,17
11/02/2020;39,175
12/02/2020;39,405
13/02/2020;39,64
14/02/2020;39,775
17/02/2020;39,735
18/02/2020;39,905
19/02/2020;39,705
20/02/2020;40,06
21/02/2020;39,575
24/02/2020;39,32
25/02/2020;37,98
26/02/2020;37,38
27/02/2020;37,29
28/02/2020;35,785
02/03/2020;34,37
03/03/2020;34,76
04/03/2020;35,085
05/03/2020;35,305
06/03/2020;35,165
09/03/2020;33,8
10/03/2020;31,77
11/03/2020;31,64
12/03/2020;31,74
13/03/2020;29,03
16/03/2020;29,61
17/03/2020;29,1
18/03/2020;29,395
19/03/2020;28,195
20/03/2020;28,995
23/03/2020;29,075
24/03/2020;27,175
25/03/2020;29,35
26/03/2020;30,295
27/03/2020;30,865
30/03/2020;30,07
31/03/2020;30,755
01/04/2020;31,33
02/04/2020;30,205
03/04/2020;30,44
06/04/2020;30,4
07/04/2020;31,605
08/04/2020;32,56
09/04/2020;32,575
14/04/2020;32,96
15/04/2020;33,12
16/04/2020;32,645
17/04/2020;32,985
20/04/2020;33,55
21/04/2020;33,725
22/04/2020;32,44
23/04/2020;33,14
24/04/2020;33,67
27/04/2020;33,33
28/04/2020;34,01
29/04/2020;34,445
30/04/2020;34,8
04/05/2020;34,17
05/05/2020;33,22
06/05/2020;34,175
07/05/2020;34,06
08/05/2020;34,49
11/05/2020;34,64
12/05/2020;34,79
13/05/2020;34,725
14/05/2020;33,88
15/05/2020;33,575
18/05/2020;33,8
19/05/2020;35,025
20/05/2020;34,875
21/05/2020;35,04
22/05/2020;34,74
25/05/2020;34,75
26/05/2020;35,4
27/05/2020;35,375
28/05/2020;35,18
29/05/2020;35,595
02/06/2020;34,885
03/06/2020;35,395
04/06/2020;35,97
05/06/2020;35,575
08/06/2020;36,55
09/06/2020;36,405
10/06/2020;36,165
11/06/2020;36,035
12/06/2020;34,75
15/06/2020;34,805
16/06/2020;34,475
17/06/2020;35,555
18/06/2020;35,795
19/06/2020;35,585
22/06/2020;35,895
23/06/2020;35,45
