DATE;Close
03/01/2020;47,702
06/01/2020;47,35
07/01/2020;46,942
08/01/2020;47,228
09/01/2020;47,316
10/01/2020;47,894
13/01/2020;48,112
14/01/2020;48,458
15/01/2020;48,4
16/01/2020;48,086
17/01/2020;48,402
20/01/2020;48,714
21/01/2020;48,67
22/01/2020;47,856
23/01/2020;48,046
24/01/2020;47,304
27/01/2020;47,716
28/01/2020;45,726
29/01/2020;46,252
30/01/2020;46,568
31/01/2020;45,382
03/02/2020;44,478
04/02/2020;45,19
05/02/2020;46,692
06/02/2020;46,976
07/02/2020;47,144
10/02/2020;46,652
11/02/2020;46,782
12/02/2020;47,572
13/02/2020;48,164
14/02/2020;47,926
17/02/2020;47,972
18/02/2020;48,246
19/02/2020;47,572
20/02/2020;48,174
21/02/2020;47,388
24/02/2020;47,034
25/02/2020;45,166
26/02/2020;45,14
27/02/2020;45,434
28/02/2020;43,798
02/03/2020;42,356
03/03/2020;42,886
04/03/2020;43,414
05/03/2020;43,75
06/03/2020;43,462
09/03/2020;41,402
10/03/2020;38,534
11/03/2020;39,486
12/03/2020;39,348
13/03/2020;35,186
16/03/2020;36,764
17/03/2020;34,37
18/03/2020;35,5
19/03/2020;33,62
20/03/2020;33,824
23/03/2020;34,71
24/03/2020;33,1
25/03/2020;35,532
26/03/2020;36,47
27/03/2020;37,032
30/03/2020;35,1
31/03/2020;35,648
01/04/2020;36,622
02/04/2020;35,348
03/04/2020;36,148
06/04/2020;36,018
07/04/2020;37,534
08/04/2020;38,228
09/04/2020;37,976
14/04/2020;38,392
15/04/2020;38,618
16/04/2020;37,736
17/04/2020;38,496
20/04/2020;38,768
21/04/2020;38,932
22/04/2020;37,528
23/04/2020;38,738
24/04/2020;39,088
27/04/2020;38,298
28/04/2020;39,088
29/04/2020;39,406
30/04/2020;40,108
04/05/2020;39,664
05/05/2020;38,034
06/05/2020;39,008
07/05/2020;38,89
08/05/2020;39,116
11/05/2020;39,814
12/05/2020;39,724
13/05/2020;39,966
14/05/2020;39,538
15/05/2020;39,04
18/05/2020;38,894
19/05/2020;40,102
20/05/2020;40,178
21/05/2020;40,364
22/05/2020;39,714
25/05/2020;39,278
26/05/2020;39,818
27/05/2020;40,048
28/05/2020;39,664
29/05/2020;39,716
01/06/2020;39,214
02/06/2020;40,298
03/06/2020;41,166
04/06/2020;42,022
05/06/2020;41,25
08/06/2020;42,532
09/06/2020;42,172
10/06/2020;41,986
11/06/2020;42,168
12/06/2020;40,924
15/06/2020;41,182
16/06/2020;40,644
17/06/2020;41,498
18/06/2020;41,936
19/06/2020;42,094
22/06/2020;42,46
23/06/2020;42,356
24/06/2020;42,756
25/06/2020;42,144
26/06/2020;42,344
29/06/2020;42,064
30/06/2020;42,028
01/07/2020;42,062
02/07/2020;42,19
03/07/2020;43,396
06/07/2020;43,73
07/07/2020;44,97
08/07/2020;44,696
09/07/2020;44,798
10/07/2020;45,106
13/07/2020;44,944
14/07/2020;45,412
15/07/2020;44,216
16/07/2020;44,552
17/07/2020;43,812
20/07/2020;44,054
21/07/2020;44,526
22/07/2020;45,134
23/07/2020;44,268
24/07/2020;44,41
27/07/2020;43,66
28/07/2020;43,788
29/07/2020;43,97
30/07/2020;44,124
31/07/2020;43,482
03/08/2020;43,324
04/08/2020;43,942
05/08/2020;44,076
06/08/2020;44,53
07/08/2020;44,352
10/08/2020;44,194
11/08/2020;44,044
12/08/2020;44,508
13/08/2020;44,622
14/08/2020;44,38
17/08/2020;44,244
18/08/2020;44,548
19/08/2020;44,22
20/08/2020;44,196
21/08/2020;43,48
24/08/2020;44,344
25/08/2020;44,674
26/08/2020;45,064
27/08/2020;45,248
28/08/2020;45,016
31/08/2020;45,14
01/09/2020;43,832
02/09/2020;44,636
03/09/2020;44,926
04/09/2020;44,252
07/09/2020;43,866
08/09/2020;44,178
09/09/2020;43,956
10/09/2020;44,128
11/09/2020;43,972
14/09/2020;44,092
15/09/2020;44,442
16/09/2020;45,09
17/09/2020;45,312
18/09/2020;44,886
21/09/2020;44,67
22/09/2020;43,916
23/09/2020;44,004
24/09/2020;44,016
25/09/2020;43,472
28/09/2020;43,374
29/09/2020;44,018
30/09/2020;43,72
01/10/2020;44,434
02/10/2020;44,736
05/10/2020;44,762
06/10/2020;44,632
07/10/2020;45,018
08/10/2020;45,426
09/10/2020;45,622
12/10/2020;45,924
13/10/2020;46,286
14/10/2020;46,234
15/10/2020;46,292
16/10/2020;45,666
19/10/2020;45,942
20/10/2020;45,86
21/10/2020;45,858
22/10/2020;45,964
23/10/2020;45,99
26/10/2020;45,904
27/10/2020;45,76
28/10/2020;45,894
29/10/2020;45,16
30/10/2020;45,61
02/11/2020;45,25
03/11/2020;45,766
04/11/2020;45,79
05/11/2020;47,194
06/11/2020;47,5
09/11/2020;47,382
10/11/2020;48,762
11/11/2020;47,696
12/11/2020;48,024
13/11/2020;48,17
16/11/2020;48,054
17/11/2020;48,888
18/11/2020;48,572
19/11/2020;48,694
20/11/2020;48,656
23/11/2020;48,906
24/11/2020;49,19
25/11/2020;49,494
26/11/2020;49,236
27/11/2020;49,484
30/11/2020;49,574
01/12/2020;48,304
02/12/2020;48,816
03/12/2020;48,734
04/12/2020;49,128
07/12/2020;49,502
08/12/2020;49,696
09/12/2020;49,638
10/12/2020;49,606
11/12/2020;49,786
14/12/2020;49,656
15/12/2020;49,364
16/12/2020;49,398
17/12/2020;49,734
18/12/2020;49,784
21/12/2020;49,86
22/12/2020;49,15
23/12/2020;49,08
28/12/2020;49,452
29/12/2020;49,338
30/12/2020;49,822
04/01/2021;50,452
05/01/2021;50,978
06/01/2021;51,494
07/01/2021;51,718
08/01/2021;51,706
11/01/2021;53,21
12/01/2021;53,3
13/01/2021;53,702
14/01/2021;53,59
15/01/2021;54,578
18/01/2021;53,958
19/01/2021;54,176
20/01/2021;54,544
21/01/2021;55,446
22/01/2021;55,532
25/01/2021;54,742
26/01/2021;55,238
27/01/2021;54,802
28/01/2021;54,12
29/01/2021;53,812
01/02/2021;52,838
02/02/2021;53,99
03/02/2021;55,284
04/02/2021;55,588
05/02/2021;55,546
08/02/2021;55,938
09/02/2021;56,016
10/02/2021;56,098
11/02/2021;56,394
12/02/2021;57,186
15/02/2021;57,232
16/02/2021;57,778
17/02/2021;57,374
18/02/2021;57,462
19/02/2021;56,382
22/02/2021;57,032
23/02/2021;55,354
24/02/2021;54,84
25/02/2021;54,708
26/02/2021;54,39
01/03/2021;53,222
02/03/2021;54,858
03/03/2021;54,182
04/03/2021;54,5
05/03/2021;54,074
08/03/2021;53,218
09/03/2021;53,18
10/03/2021;53,842
11/03/2021;53,516
12/03/2021;54,836
15/03/2021;53,978
16/03/2021;54,014
17/03/2021;54,68
18/03/2021;54,08
19/03/2021;54,202
22/03/2021;54,18
23/03/2021;54,046
24/03/2021;53,668
25/03/2021;52,742
26/03/2021;52,672
29/03/2021;53,002
30/03/2021;53,424
31/03/2021;53,986
01/04/2021;54,17
06/04/2021;54,784
07/04/2021;54,826
08/04/2021;53,826
09/04/2021;54,162
12/04/2021;53,59
13/04/2021;53,254
14/04/2021;53,436
15/04/2021;53,688
16/04/2021;53,886
19/04/2021;54,074
20/04/2021;53,73
21/04/2021;53,236
22/04/2021;53,364
23/04/2021;53,71
26/04/2021;53,96
27/04/2021;53,958
28/04/2021;54,126
29/04/2021;54,24
30/04/2021;53,988
03/05/2021;53,662
04/05/2021;53,482
05/05/2021;52,912
06/05/2021;53,542
07/05/2021;53,602
10/05/2021;54,036
11/05/2021;53,108
12/05/2021;52,482
13/05/2021;51,912
14/05/2021;51,626
17/05/2021;52,128
18/05/2021;52,03
19/05/2021;52,754
20/05/2021;52,27
21/05/2021;52,75
24/05/2021;52,432
25/05/2021;52,55
26/05/2021;52,94
27/05/2021;53,426
28/05/2021;53,616
31/05/2021;54,028
01/06/2021;54,218
02/06/2021;54,776
03/06/2021;55,044
04/06/2021;54,98
07/06/2021;55,086
08/06/2021;54,632
09/06/2021;54,506
10/06/2021;54,496
11/06/2021;54,848
14/06/2021;54,942
15/06/2021;55,158
16/06/2021;54,694
17/06/2021;54,74
18/06/2021;55,308
21/06/2021;55,066
22/06/2021;54,884
23/06/2021;54,668
24/06/2021;55,152
25/06/2021;55,55
28/06/2021;55,894
29/06/2021;55,998
30/06/2021;55,862
01/07/2021;56,012
02/07/2021;55,62
05/07/2021;55,522
06/07/2021;55,21
07/07/2021;54,948
08/07/2021;54,932
09/07/2021;53,618
12/07/2021;54,29
13/07/2021;54,332
14/07/2021;55,026
15/07/2021;54,974
16/07/2021;55,258
19/07/2021;54,88
20/07/2021;53,802
21/07/2021;54,014
22/07/2021;54,068
23/07/2021;54,542
26/07/2021;53,778
27/07/2021;52,68
28/07/2021;51,076
29/07/2021;52,6
30/07/2021;52,936
02/08/2021;52,638
03/08/2021;53,022
04/08/2021;52,824
05/08/2021;53,482
06/08/2021;53,554
09/08/2021;53,248
10/08/2021;53,638
11/08/2021;53,712
12/08/2021;53,656
13/08/2021;53,288
16/08/2021;52,822
17/08/2021;52,392
18/08/2021;52,06
19/08/2021;52,31
20/08/2021;51,138
23/08/2021;51,062
24/08/2021;51,434
25/08/2021;52,766
26/08/2021;52,848
27/08/2021;52,43
30/08/2021;52,718
31/08/2021;52,882
01/09/2021;53,612
02/09/2021;54,09
03/09/2021;54,02
06/09/2021;53,92
07/09/2021;54,388
08/09/2021;54,41
09/09/2021;53,678
10/09/2021;53,546
13/09/2021;53,618
14/09/2021;53,646
15/09/2021;53,294
16/09/2021;52,806
17/09/2021;52,732
20/09/2021;52,71
21/09/2021;51,55
22/09/2021;51,516
23/09/2021;52,378
24/09/2021;52,498
27/09/2021;52,162
28/09/2021;52,454
29/09/2021;51,884
30/09/2021;52,012
01/10/2021;52,51
04/10/2021;51,978
05/10/2021;51,122
06/10/2021;51,822
07/10/2021;51,46
08/10/2021;52,8
11/10/2021;52,812
12/10/2021;53,102
13/10/2021;52,752
14/10/2021;53,074
15/10/2021;53,24
18/10/2021;53,972
19/10/2021;53,934
20/10/2021;54,348
21/10/2021;54,452
22/10/2021;53,966
25/10/2021;53,918
26/10/2021;54,36
27/10/2021;54,424
28/10/2021;53,872
29/10/2021;53,234
01/11/2021;53,162
02/11/2021;53,408
03/11/2021;53,012
04/11/2021;52,974
05/11/2021;53,2
08/11/2021;53,31
09/11/2021;53,58
10/11/2021;53,486
11/11/2021;53,964
12/11/2021;54,818
15/11/2021;54,988
16/11/2021;55,048
17/11/2021;55,354
18/11/2021;55,264
19/11/2021;54,41
22/11/2021;54,596
23/11/2021;54,492
24/11/2021;54,116
25/11/2021;54,406
26/11/2021;54,494
29/11/2021;51,892
30/11/2021;52,454
01/12/2021;52,226
02/12/2021;53,42
03/12/2021;53,392
06/12/2021;52,496
07/12/2021;52,716
08/12/2021;53,862
09/12/2021;53,73
10/12/2021;53,848
13/12/2021;53,502
14/12/2021;52,786
15/12/2021;52,676
16/12/2021;52,098
17/12/2021;52,782
20/12/2021;52,52
21/12/2021;51,316
22/12/2021;52,388
23/12/2021;52,556
27/12/2021;52,928
28/12/2021;53,138
29/12/2021;53,08
30/12/2021;52,63
03/01/2022;53,244
04/01/2022;53,6
05/01/2022;53,388
06/01/2022;53,064
07/01/2022;52,776
10/01/2022;52,846
11/01/2022;52,97
12/01/2022;53,966
13/01/2022;54,49
14/01/2022;54,1
17/01/2022;53,826
18/01/2022;53,906
19/01/2022;53,58
20/01/2022;53,664
21/01/2022;54,686
24/01/2022;53,692
25/01/2022;51,874
26/01/2022;52,338
27/01/2022;52,608
28/01/2022;52,448
31/01/2022;51,93
01/02/2022;53,092
02/02/2022;53,594
03/02/2022;53,254
04/02/2022;52,334
07/02/2022;52,11
08/02/2022;52,32
09/02/2022;52,714
10/02/2022;53,494
11/02/2022;53,566
14/02/2022;53,452
15/02/2022;52,748
16/02/2022;53,326
17/02/2022;53,664
18/02/2022;53,666
21/02/2022;52,914
22/02/2022;52,474
23/02/2022;52,114
24/02/2022;51,886
25/02/2022;50,076
28/02/2022;51,282
01/03/2022;51,104
02/03/2022;51,282
03/03/2022;51,192
04/03/2022;50,74
07/03/2022;50,074
08/03/2022;49,126
09/03/2022;48,374
10/03/2022;48,752
11/03/2022;48,246
14/03/2022;48,048
15/03/2022;46,766
16/03/2022;46,392
17/03/2022;49,158
18/03/2022;49,094
21/03/2022;50,132
22/03/2022;49,544
23/03/2022;50,43
24/03/2022;50,562
25/03/2022;50,464
28/03/2022;50,058
29/03/2022;50,2
30/03/2022;50,716
31/03/2022;50,712
01/04/2022;50,244
04/04/2022;50,962
05/04/2022;52,126
06/04/2022;51,654
07/04/2022;50,924
08/04/2022;50,442
11/04/2022;50,938
12/04/2022;50,186
13/04/2022;50,556
14/04/2022;50,704
19/04/2022;50,582
20/04/2022;49,892
21/04/2022;49,482
22/04/2022;48,992
25/04/2022;48,846
26/04/2022;47,966
27/04/2022;47,812
28/04/2022;48,508
29/04/2022;48,95
02/05/2022;50,202
03/05/2022;49,408
04/05/2022;49,804
05/05/2022;49,098
06/05/2022;48,568
09/05/2022;47,896
10/05/2022;46,65
11/05/2022;46,556
12/05/2022;47,164
13/05/2022;46,854
16/05/2022;47,804
17/05/2022;47,688
18/05/2022;48,166
19/05/2022;47,704
20/05/2022;47,412
23/05/2022;47,752
24/05/2022;47,614
25/05/2022;46,19
26/05/2022;46,832
27/05/2022;47,342
30/05/2022;48,03
31/05/2022;48,624
01/06/2022;48,96
02/06/2022;48,692
03/06/2022;48,994
06/06/2022;48,424
07/06/2022;49,158
08/06/2022;48,766
09/06/2022;49,19
10/06/2022;48,718
13/06/2022;48,406
14/06/2022;47,202
15/06/2022;47,908
16/06/2022;48,15
17/06/2022;46,57
20/06/2022;46,948
21/06/2022;46,844
22/06/2022;47,392
23/06/2022;46,464
24/06/2022;46,78
27/06/2022;47,452
28/06/2022;47,646
29/06/2022;47,84
30/06/2022;47,512
01/07/2022;47,192
04/07/2022;47,198
05/07/2022;47,114
06/07/2022;46,974
07/07/2022;47,438
08/07/2022;48,93
11/07/2022;48,862
12/07/2022;47,928
13/07/2022;47,896
14/07/2022;47,608
15/07/2022;47,366
18/07/2022;47,272
19/07/2022;47,762
20/07/2022;47,704
21/07/2022;47,88
22/07/2022;47,998
25/07/2022;47,918
26/07/2022;47,88
27/07/2022;48,096
28/07/2022;48,398
29/07/2022;48,592
01/08/2022;48,198
02/08/2022;47,866
03/08/2022;48,058
04/08/2022;48,268
05/08/2022;48,332
08/08/2022;48,616
09/08/2022;48,702
10/08/2022;48,424
11/08/2022;48,324
12/08/2022;48,934
